,TEXT,SIZE,FREQMAX,VOLTMAX,AMPMAX
10,"Epilepsy is a neurological disorder in which patients have recurrent seizures. Seizures occur in conjunction with abnormal electrical brain activity which can be recorded by the electroencephalogram (EEG). Often, this abnormal brain activity consists of high amplitude regular spike-wave oscillations as opposed to low amplitude irregular oscillations in the non seizure state. Active brain stimulation has been proposed as a method to terminate seizures prematurely, however, a general and widely-applicable approach to optimal stimulation protocols is still lacking. In this study we use a computational model of epileptic spike-wave dynamics to evaluate the effectiveness of a pseudospectral method to simulated seizure abatement. We incorporate brain connectivity derived from magnetic resonance imaging of a subject with idiopathic generalized epilepsy. We find that the pseudospectral method can successfully generate time-varying stimuli that abate simulated seizures, even when including heterogeneous patient specific brain connectivity. The strength of the stimulus required varies in different brain areas. Our results suggest that seizure abatement, modeled as an optimal control problem and solved with the pseudospectral method, offers an attractive approach to treatment for in vivo stimulation techniques. Further, if optimal brain stimulation protocols are to be experimentally successful, then the heterogeneity of cortical connectivity should be accounted for in the development of those protocols and thus more spatially localized solutions may be preferable.Copyright © 2015 Taylor, Thomas, Sinha, Dauwels, Kaiser, Thesen and Ruths.",1,,,
11,"Neuromodulative treatment options are warranted in patients with difficult-to-treat epilepsy. However, acquisition of controlled data on deep brain stimulation has so far been achieved only for the centromedian and anterior thalamic nucleus. In a case series of four patients with intractable partial epilepsy, a randomized controlled cross-over protocol was used to get insight into efficacy and safety of 3-month nucleus accumbens stimulation. Seizure frequency, neurocognitive testing, ""Liverpool Seizure Severity Score,"" ""Quality of Life in Epilepsy Inventory,"" ""Beck Depression Inventory,"" and ""Mini International Neuropsychiatric Interview"" were obtained at every visit. In a subsequent open-label phase, nucleus accumbens stimulation responders underwent concomitant anterior thalamic nucleus stimulation, whereas nonresponders received solely thalamic stimulation. Under nucleus accumbens stimulation, three of four patients had >=50% reduction in frequency of disabling seizures without further improvement with additional anterior thalamic nucleus stimulation. Patient-reported outcome and neurocognitive testing remained unchanged. Accumbens stimulation is safe and seems to be a suitable option in intractable partial epilepsy. The current findings require substantiation by an adequately powered multicenter study.Copyright © Wiley Periodicals, Inc. © 2015 International League Against Epilepsy.",4,,,
12,"Background: Deep brain stimulation (DBS) of the anterior nucleus of the thalamus (ANT) has been suggested as novel treatment option in refractory focal epilepsy. However, the most optimal target for stimulation has not been described in detail. In the present study, we aimed to study the correlation between stimulation site and outcome in order to define the most optimal target for DBS in refractory epilepsy. Material(s) and Method(s): A total of 62 contact locations used in 28 treatment attempts in 15 prospectively followed patients with ANTDBS during past 4,5 years were studied. Treatment attempts were classified into responding and non-responding trials using seizure reduction and side effect profile as criteria. The locations of active contacts in each treatment trial were analyzed indirectly using ACPC coordinate system and stereotactic atlas as well as directly using 3T MRI STIR images. Result(s): The contacts in successful treatment trials were located significantly more anterior (3,4mm vs. 1,4 mm ;p <0,001 ) and superior (12,2mm vs. 10,1mm; p < 0,001) in AC-PC coordinate system compared to contacts in non-responding treatment trials. Contacts at area correlating with most frequently overlapped area of ANT models in 3T MRI STIR images were associated with favourable outcome whereas contacts at area suggested by stereotactic atlas were associated with poor outcome. Conclusion(s): Our data demonstrates that stimulation site at the anterior aspect of ANT is crucial for favourable therapy outcome. Direct targeting of ANT is superior to indirect targeting method due to high degree of anatomical variation between individuals, and especially, deviation of patient imaging data from stereotactic atlas. Special attention should be paid on selecting contacts properly at ANT for chronic stimulation while avoiding selection of too deep contacts.",15,,,
13,"Introduction: The neural plasticity is one main mechanism to support the flexibility of human brain. In this talk, I summarize a newly developed method (quadripulse stimulation (QPS)) to induce neural plasticity in human brain, and show a few results in patients with Parkinson's disease (PD) and myoclonic epilepsy (ME). What's QPS: QPS is one of LTP/LTD like effect inducing stimulation methods. QPS over M1 modulates the stimulated M1 (homotopic plasticity) bidirectionally depending on the interval of magnetic pulses in one burst. Short interval QPS potentiates the excitability and longer interval QPS depresses the target area. QPS at interval of 5ms (QPS5) induces LTP most efficiently and QPS50 LTD most effectively. It also modulates the sensory cortical excitability studied by SEP bidirectionally (heterotopic plasticity); namely QPS5 over M1 potentiates SEP and QPS50 over M1 depresses SEP. QPS effects in myoclonic epilepsy patients (ME): QPS5 over M1 potentiated giant SEP in patients with ME. QPS50 over M1, inducing LTD in normal subjects, also potentiated giant SEP. Some animal experiment suggests that intracellular calcium influx induces the plasticity and AMPA receptor trafficking, internalization, externalization determines the direction of plasticity. Some dysfunction of AMPA receptor may explain the unidirectional plasticity seen in patients with ME. Dopamine and QPS: Taking one tablet of L-Dopa before QPS enhanced both LTP and LTD like effects in normal subjects, which are compatible with dopamine influence on the plasticity in animals. D1 enhanced LTP, and D1 and D2 enhanced LTD. QPS and PD: QPS induced neither LTP nor LTD in PD at off state, but L-dopa normalized the bidirectional plasticity in PD without dyskinesia at on state. In patients with on-dyskinesia, QPS5 potentiated M1, but QPS50 induced neither LTD nor LTP. This is consistent with some animal experimental results.",0,,,
14,"Rationale: For medically refractory focal epilepsy, deep brain stimulation (DBS) of the anterior nucleus of the thalamus (ANT) has become an established therapeutic strategy in Europe. Also, DBS of the Ncl. accumbens (NAC) has been shown to be safe and potentially efficacious (Schmitt and Voges et al. Journal of Neurology 2014). However, little is known about the electrophysiological consequences of DBS for both targets, partly because of the lack of appropriate data aquisation. Method(s): We had the opportunity to analyze frequency and location of interictal discharges of five patients treated with NAC-DBS and subsequently three patients with NAC-DBS and NAC-ANT-DBS during a seven day period of long-term monitoring video-eeg-monitoring. These results were compared to baseline before DBS initiation and to seizure outcome after 6 months of chronic DBS. Result(s): Reduction in IEDs frequency was not significant and did not correlate with a seizure reduction in 6-months period (defined as 50% seizure reduction compared with 3-month-baseline period). In two patients (both non-responders in 6-month period) showed a change in IED localisation: one patient with frontal lobe epilepsy had a relative increase in temporal IEDs after ANT-DBS and one patient with temporal lobe epilepsy a relative increase in right temporal IEDs after NAC-DBS. During ANT-NAC-DBS there was no change in IED frequency, IED localisation or 6-month period seizure outcome compared to baseline, NAC-DBS or ANT-DBS. Conclusion(s): DBS changes the irritative zone independent from the location of the epileptogenic zone and of response to this treatment modality. ANT-DBS does not add additional benefit to NAC-DBS responders. Further analysis with higher number of patients are necessary to support these preliminary findings.",5,,,
15,"SIGFRIED (SIGnal modeling For Real-time Identification and Event Detection) software provides real-time functional mapping (RTFM) of eloquent cortex for epilepsy patients preparing to undergo resective surgery. This study presents the first application of paradigms used in functional magnetic resonance (fMRI) and electrical cortical stimulation mapping (ESM) studies for shared functional cortical mapping in the context of RTFM. Results from the 3 modalities are compared. A left-handed 13-year-old male with intractable epilepsy participated in functional mapping for localization of eloquent language cortex with fMRI, ESM, and RTFM. For RTFM, data were acquired over the frontal and temporal cortex. Several paradigms were sequentially presented: passive (listening to stories) and active (picture naming and verb generation). For verb generation and story processing, fMRI showed atypical right lateralizing language activation within temporal lobe regions of interest and bilateral frontal activation with slight right lateralization. Left hemisphere ESM demonstrated no eloquent language areas. RTFM procedures using story processing and picture naming elicited activity in the right lateral and basal temporal regions. Verb generation elicited strong right lateral temporal lobe activation, as well as left frontal lobe activation. RTFM results confirmed atypical language lateralization evident from fMRI and ESM. We demonstrated the feasibility and usefulness of a new RTFM stimulation paradigm during presurgical evaluation. Block design paradigms used in fMRI may be optimal for this purpose. Further development is needed to create age-appropriate RTFM test batteries.Copyright © 2013 EEG and Clinical Neuroscience Society (ECNS).",0,,,
16,"Objective To demonstrate the safety and effectiveness of responsive stimulation at the seizure focus as an adjunctive therapy to reduce the frequency of seizures in adults with medically intractable partial onset seizures arising from one or two seizure foci. Methods Randomized multicenter double-blinded controlled trial of responsive focal cortical stimulation (RNS System). Subjects with medically intractable partial onset seizures from one or two foci were implanted, and 1 month postimplant were randomized 1:1 to active or sham stimulation. After the fifth postimplant month, all subjects received responsive stimulation in an open label period (OLP) to complete 2 years of postimplant follow-up. Results All 191 subjects were randomized. The percent change in seizures at the end of the blinded period was -37.9% in the active and -17.3% in the sham stimulation group (p = 0.012, Generalized Estimating Equations). The median percent reduction in seizures in the OLP was 44% at 1 year and 53% at 2 years, which represents a progressive and significant improvement with time (p < 0.0001). The serious adverse event rate was not different between subjects receiving active and sham stimulation. Adverse events were consistent with the known risks of an implanted medical device, seizures, and of other epilepsy treatments. There were no adverse effects on neuropsychological function or mood. Significance Responsive stimulation to the seizure focus reduced the frequency of partial-onset seizures acutely, showed improving seizure reduction over time, was well tolerated, and was acceptably safe. The RNS System provides an additional treatment option for patients with medically intractable partial-onset seizures. © 2014 The Authors. Epilepsia published by Wiley Periodicals, Inc. on behalf of International League Against Epilepsy.",0,,,
17,"Patients with medically intractable epilepsy often undergo invasive evaluation and surgery, with a 50% success rate. The low success rate is likely due to poor identification of the epileptogenic zone (EZ), the brain area causing seizures. This work introduces a new method using functional magnetic resonance imaging (fMRI) with simultaneous direct electrical stimulation of the brain that could help localize the EZ, performed in five patients with medically intractable epilepsy undergoing invasive evaluation with intracranial depth electrodes. Stimulation occurred in a location near the hypothesized EZ and a location away. Electrical recordings in response to stimulation were recorded and compared to fMRI. Multiple stimulation parameters were varied, like current and frequency. The brain areas showing fMRI response were compared with the areas resected and the success of surgery. Robust fMRI maps of activation networks were easily produced, which also showed a significant but weak positive correlation between quantitative measures of blood-oxygen-level-dependent (BOLD) activity and measures of electrical activity in response to direct electrical stimulation (mean correlation coefficient of 0.38 for all acquisitions that produced a strong BOLD response). For four patients with outcome data at 6 months, successful surgical outcome is consistent with the resection of brain areas containing high local fMRI activity. In conclusion, this method demonstrates the feasibility of simultaneous direct electrical stimulation and fMRI in humans, which allows the study of brain connectivity with high resolution and full spatial coverage. This innovative technique could be used to better define the localization and extension of the EZ in intractable epilepsies, as well as for other functional neurosurgical procedures. © Copyright 2014, Mary Ann Liebert, Inc. 2014.",5,,,
18,"We report on the clinical efficacy of bilateral globus pallidus internus deep brain stimulation in two patients with myoclonus dystonia/essential myoclonus who lack mutations in the epsilon sarcoglycan gene. The primary outcome measures were the Burke-Fahn-Marsden Dystonia Scale motor severity and the Unified Myoclonus Rating Scale scores, and the secondary outcome measure was the 36-item Short Form Health Survey score at the last postoperative follow up. Neuronal firing rates were also calculated from microelectrode recordings. At the last postoperative follow-up (16 weeks for Patient 1 and 18 weeks for Patient 2), there was 57.1% (Patient 1) improvement in the Burke-Fahn-Marsden Dystonia Scale motor severity score and 31.3% (Patient 1) and 69% (Patient 2) in the Unified Myoclonus Rating Scale score while individual SF-36 scores showed improvement in most subdomains. Bilateral globus pallidus internus deep brain stimulation can be effective in ameliorating epsilon sarcoglycan negative myoclonus with or without concurrent dystonia. Whether an epsilon sarcoglycan negative status represents a less favorable prognostic factor for pallidal deep brain stimulation remains to be elucidated. © 2014 Elsevier Ltd.",2,,,
19,"About one third of patients with epilepsy are refractory to medical treatment. For these patients, alternative treatment options include implantable neurostimulation devices such as vagus nerve stimulation (VNS), deep brain stimulation (DBS), and responsive neuro-stimulation systems (RNS). We conducted a systematic literature review to assess the available evidence on the clinical efficacy of these devices in patients with refractory epilepsy across their lifespan. VNS has the largest evidence base, and numerous randomized controlled trials and open-label studies support its use in the treatment of refractory epilepsy. It was approved by the US Food and Drug Administration in 1997 for treatment of partial seizures, but has also shown significant benefit in the treatment of generalized seizures. Results in adult populations have been more encouraging than in pediatric populations, where more studies are required. VNS is considered a safe and well-tolerated treatment, and serious side effects are rare. DBS is a well-established treatment for several movement disorders, and has a small evidence base for treatment of refractory epilepsy. Stimulation of the anterior nucleus of the thalamus has shown the most encouraging results, where significant decreases in seizure frequency were reported. Other potential targets include the centromedian thalamic nucleus, hippocampus, cerebellum, and basal ganglia structures. Preliminary results on RNS, new-generation implantable neuro-stimulation devices which stimulate brain structures only when epileptic activity is detected, are encouraging. Overall, implantable neurostimulation devices appear to be a safe and beneficial treatment option for patients in whom medical treatment has failed to adequately control their epilepsy. Further large-scale randomized controlled trials are required to provide a sufficient evidence base for the inclusion of DBS and RNS in clinical guidelines.Copyright © 2014 Cox et al.",0,,,
20,"Background: Several surgical adverse events (SAEs) have been associated with Deep Brain Stimulation (DBS) of the subthalamic nucleus (STN) in Parkinson's Disease (PD) patients, leading to certain confusion about the risk/benefit ratio of this technique, and giving rise to the need of more and more extensive control studies over longer periods. The aim of this article is to identify and quantify the factors associated with the most frequent AEs from STN DBS in PD-diagnosed patients. Method(s): The following variables were studied: aborted procedure, misplaced leads, intracranial haemorrhage, and seizures. This study was carried out in 233 patients diagnosed with PD, with 455 STN electrodes implanted and follow-up after 7 (8-14) years follow up. Result(s): A total amount of 56 SAEs occurred in 49 patients (11.76 % of total procedures, 12.31 % of implanted leads, 21.03 % of patients). SAEs were: five aborted procedures, 26 misplaced leads, ten intracranial haemorrhages, and 15 seizures. Of all the SAEs, long-term effects only happened in two cases of hemiparesis caused by intracranial haemorrhage; the other SAEs were reversible and didn't leave any long-term clinical consequences (0.42 % of procedures, 0.44 % of leads, and 0.86 % of patients). Conclusion(s): STN DBS in PD patients is a safe surgical procedure, with good risk/benefit ratios: procedure reliability/correct lead implantation in 95.59 %, 0 mortality/implanted lead, 0.12 morbidity/implanted lead, and 0.0043 neurological sequelae/implanted lead. © 2014 Springer-Verlag.",233,,,
21,"Objective: Extraoperative cortical stimulation (CS) for mapping of eloquent cortex in patients prior to epilepsy surgery is not standardized across centres. Two different techniques are in use, referred to as bipolar and monopolar CS. We compared the ability of bipolar versus monopolar CS to identify eloquent cortex and their safety profile in patients undergoing subdural EEG recordings. Method(s): Five patients undergoing intracranial EEG recordings and extraoperative CS. Systematic comparison of stimulus parameters, clinical signs and afterdischarges of bipolar versus monopolar CS. Result(s): Bipolar CS requires less stimulation current but is more time consuming and more likely to produce afterdischarges when compared to monopolar CS. None of the stimulations elicited seizures. The area defined as eloquent by either bipolar or monopolar CS reveals only minor discordances, involving mainly the outer row and edge of the electrode array producing clinical signs with monopolar CS only. Qualitatively, bi- and monopolar CS reproduced similar movements and types of muscle contractions. Conclusion(s): Bipolar and monopolar CS are safe procedures identifying similar cortical areas as eloquent, although monopolar cortical stimulation is less time consuming. Significance: Findings advocate the use of monopolar CS in a clinical setting. © 2013 International Federation of Clinical Neurophysiology.",5,,,
22,"Medically refractory epilepsy remains a major medical problem worldwide. Although some patients are eligible for surgical resection of seizure foci, a proportion of patients are ineligible for a variety of reasons. One such reason is that the foci reside in eloquent cortex of the brain and therefore resection would result in significant morbidity. This retrospective study reports our experience with a novel neurostimulation technique for the treatment of these patients. We identified three patients who were ineligible for surgical resection of the intracranially identified seizure focus because it resided in eloquent cortex, who underwent therapeutic trial of focal cortical stimulation delivered through the subdural monitoring grid. All three patients had a significant reduction in seizures, and two went on to permanent implantation, which resulted in long-term reduction in seizure frequency. In conclusion, this small case report provides some evidence of proof of concept of the role of targeted continuous neocortical neurostimulation in the treatment of medically refractory focal epilepsy, and provides support for ongoing investigations into this treatment modality. A PowerPoint slide summarizing this article is available for download in the Supporting Information section here. © Wiley Periodicals, Inc. © 2014 International League Against Epilepsy.",3,,,
23,"Methods: We analyzed seizures acutely induced by pharmacological manipulations (bicuculline and 4-aminopyridine) in the entorhinal cortex and in the hippocampus of the in vitro isolated guinea pig brain.
Results: As seizures ended, extracellular and intracellular recordings showed periodic bursting that progressively decreased in frequency. During the late bursting phase, the duration, number, and rate of occurrence of spikes within single bursts remained constant, whereas cumulative spike amplitude (index of excitation during a burst) and interburst interval (index of inhibition between bursts) progressively increased. The increment of average/cumulative burst excitation and interburst interval toward seizure end was confirmed in human focal seizures recorded with intracerebral electrodes in patients with drug-resistant partial epilepsies. A postburst refractory period of circa 2 seconds that increases with time toward the end of the seizure was confirmed in the experimental model by probing interburst epochs in the CA1 region with local dentate gyrus stimulation just suprathreshold for burst generation.
Interpretation: Our findings support the concept that focal seizures are terminated by the simultaneous and opposing enhancement of excitation (burst activity) in addition to postburst inhibition. We hypothesize that a seizure stops when postburst inhibition becomes large enough to prevent reactivation of excitation
Objective: Comprehension of the events that lead to seizure termination contributes to the development of strategies to confine propagation of ictal discharges. It is commonly assumed that the inhibitory control fails during seizures and recovers after the end of the ictal event. We examine the possibility that a progressive increase of inhibition that counters an increase in the strength of excitation contributes to terminating a focal seizure.Copyright © 2014 American Neurological Association.",0,,,
